E;N;vit;norsk;cat;kat;gruppe;col;size
599208.5109609831;6651014.654580258;Corvus cornix;kråke;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Erithacus rubecula;rødstrupe;LC;Livskraftig;Fugler;#60beb2;1.5
602906.8078972341;6654882.764320913;Bufo bufo;nordpadde;LC;Livskraftig;Amfibier, reptiler;#60beb2;1.5
599129.8201172816;6652542.798787984;Dendrocopos major;flaggspett;LC;Livskraftig;Fugler;#60beb2;1.5
599129.8201172816;6652542.798787984;Cyanistes caeruleus;blåmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Cygnus cygnus;sangsvane;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Bucephala clangula;kvinand;LC;Livskraftig;Fugler;#60beb2;1.5
600609.6042390586;6653779.32068767;Poecile montanus;granmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599129.8201172816;6652542.798787984;Parus major;kjøttmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Cygnus cygnus;sangsvane;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Coloeus monedula;sangsvane;LC;Livskraftig;Fugler;#60beb2;1.5
599129.8201172816;6652542.798787984;Cyanistes caeruleus;blåmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599129.8201172816;6652542.798787984;Parus major;kjøttmeis;LC;Livskraftig;Fugler;#60beb2;1.5
602905.0290611804;6654426.982935918;Rana temporaria;buttsnutefrosk;LC;Livskraftig;Amfibier, reptiler;#60beb2;1.5
599208.5109609831;6651014.654580258;Poecile montanus;granmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599129.8201172816;6652542.798787984;Emberiza citrinella;gulspurv;NT;Nær truet;Fugler;#ed6c26;2
599129.8201172816;6652542.798787984;Actitis hypoleucos;strandsnipe;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Coccothraustes coccothraustes;kjernebiter;LC;Livskraftig;Fugler;#60beb2;1.5
599208.5109609831;6651014.654580258;Turdus merula;svarttrost;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Mergus merganser;laksand;LC;Livskraftig;Fugler;#60beb2;1.5
602667.7717874479;6654866.070131282;Rana temporaria;buttsnutefrosk;LC;Livskraftig;Amfibier, reptiler;#60beb2;1.5
599859.9973104014;6652238.142523267;Erithacus rubecula;rødstrupe;LC;Livskraftig;Fugler;#60beb2;1.5
599820.5689091656;6652360.753981053;Neovison vison;mink;NA;Ikke egnet;Pattedyr;#939598;2
599208.5109609831;6651014.654580258;Garrulus glandarius;nøtteskrike;LC;Livskraftig;Fugler;#60beb2;1.5
599129.8201172816;6652542.798787984;Sitta europaea;spettmeis;LC;Livskraftig;Fugler;#60beb2;1.5
602736.961257961;6654811.059451799;Bufo bufo;nordpadde;LC;Livskraftig;Amfibier, reptiler;#60beb2;1.5
599859.9973104014;6652238.142523267;Columba palumbus;ringdue;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Corvus corax;ravn;LC;Livskraftig;Fugler;#60beb2;1.5
599820.5689091656;6652360.753981053;Castor fiber;bever;LC;Livskraftig;Pattedyr;#60beb2;1.5
599129.8201172816;6652542.798787984;Aegithalos caudatus;stjertmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Poecile palustris;løvmeis;LC;Livskraftig;Fugler;#60beb2;1.5
602929.005664909;6654822.879856193;Rana temporaria;buttsnutefrosk;LC;Livskraftig;Amfibier, reptiler;#60beb2;1.5
599859.9973104014;6652238.142523267;Cygnus cygnus;sangsvane;LC;Livskraftig;Fugler;#60beb2;1.5
599208.5109609831;6651014.654580258;Columba palumbus;ringdue;LC;Livskraftig;Fugler;#60beb2;1.5
599129.8201172816;6652542.798787984;Aegithalos caudatus;stjertmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599129.8201172816;6652542.798787984;Scolopax rusticola;rugde;LC;Livskraftig;Fugler;#60beb2;1.5
599208.5109609831;6651014.654580258;Accipiter gentilis;hønsehauk;NT;Nær truet;Fugler;#ed6c26;2
599859.9973104014;6652238.142523267;Poecile montanus;granmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Cygnus cygnus;sangsvane;LC;Livskraftig;Fugler;#60beb2;1.5
599057.9749238859;6653947.897885007;Lactarius trivialis;hulriske;LC;Livskraftig;Sopper;#60beb2;1.5
599766.6818465717;6652240.074850273;Cygnus cygnus;sangsvane;LC;Livskraftig;Fugler;#60beb2;1.5
599129.8201172816;6652542.798787984;Sitta europaea;spettmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599129.8201172816;6652542.798787984;Strix aluco;kattugle;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Bucephala clangula;kvinand;LC;Livskraftig;Fugler;#60beb2;1.5
602667.9940796079;6654948.197012417;Rana temporaria;buttsnutefrosk;LC;Livskraftig;Amfibier, reptiler;#60beb2;1.5
599668.6573110896;6654127.922746209;Glypta lapponica;buttsnutefrosk;LC;Livskraftig;Amfibier, reptiler;#60beb2;1.5
599701.200074642;6654162.229292497;;buttsnutefrosk;LC;Livskraftig;Amfibier, reptiler;#60beb2;1.5
599668.6573110896;6654127.922746209;Lissonota lineolaris;buttsnutefrosk;LC;Livskraftig;Amfibier, reptiler;#60beb2;1.5
599389.566167187;6652270.788137214;Lissonota lineolaris;buttsnutefrosk;LC;Livskraftig;Amfibier, reptiler;#60beb2;1.5
599389.566167187;6652270.788137214;Lissonota lineolaris;buttsnutefrosk;LC;Livskraftig;Amfibier, reptiler;#60beb2;1.5
600246.7743999626;6653004.410646581;Lophophanes cristatus;toppmeis;LC;Livskraftig;Fugler;#60beb2;1.5
600235.4985845041;6653105.16450315;Periparus ater;svartmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Pyrrhula pyrrhula;dompap;LC;Livskraftig;Fugler;#60beb2;1.5
600235.4985845041;6653105.16450315;Periparus ater;svartmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Cyanistes caeruleus;blåmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Cyanistes caeruleus;blåmeis;LC;Livskraftig;Fugler;#60beb2;1.5
602689.140644449;6651199.88131528;Sitta europaea;spettmeis;LC;Livskraftig;Fugler;#60beb2;1.5
602417.2371827951;6650515.867425751;Periparus ater;svartmeis;LC;Livskraftig;Fugler;#60beb2;1.5
600235.4985845041;6653105.16450315;Sitta europaea;spettmeis;LC;Livskraftig;Fugler;#60beb2;1.5
602417.2371827951;6650515.867425751;Regulus regulus;fuglekonge;LC;Livskraftig;Fugler;#60beb2;1.5
600236.4985618937;6652442.004624289;Pyrrhula pyrrhula;dompap;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Sitta europaea;spettmeis;LC;Livskraftig;Fugler;#60beb2;1.5
602417.2371827951;6650515.867425751;Fringilla coelebs;bokfink;LC;Livskraftig;Fugler;#60beb2;1.5
598897.9856521322;6652682.649330676;Sitta europaea;spettmeis;LC;Livskraftig;Fugler;#60beb2;1.5
602689.140644449;6651199.88131528;Dendrocopos major;flaggspett;LC;Livskraftig;Fugler;#60beb2;1.5
598897.9856521322;6652682.649330676;Pica pica;skjære;LC;Livskraftig;Fugler;#60beb2;1.5
600235.4985845041;6653105.16450315;Pyrrhula pyrrhula;dompap;LC;Livskraftig;Fugler;#60beb2;1.5
602689.140644449;6651199.88131528;Phylloscopus collybita;gransanger;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Sitta europaea;spettmeis;LC;Livskraftig;Fugler;#60beb2;1.5
600235.4985845041;6653105.16450315;Poecile montanus;granmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599208.5109609831;6651014.654580258;Dendrocopos major;flaggspett;LC;Livskraftig;Fugler;#60beb2;1.5
599208.5109609831;6651014.654580258;Aegithalos caudatus;stjertmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Erithacus rubecula;rødstrupe;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Garrulus glandarius;nøtteskrike;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Parus major;kjøttmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599773.2083883155;6652277.354854722;Periparus ater;svartmeis;LC;Livskraftig;Fugler;#60beb2;1.5
602893.1939279148;6651939.076850163;Tringa ochropus;skogsnipe;LC;Livskraftig;Fugler;#60beb2;1.5
599208.5109609831;6651014.654580258;Emberiza citrinella;gulspurv;NT;Nær truet;Fugler;#ed6c26;2
599859.9973104014;6652238.142523267;Chloris chloris;gulspurv;NT;Nær truet;Fugler;#ed6c26;2
599859.9973104014;6652238.142523267;Parus major;kjøttmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Turdus merula;svarttrost;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Sitta europaea;spettmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599773.2083883155;6652277.354854722;Poecile montanus;granmeis;LC;Livskraftig;Fugler;#60beb2;1.5
602417.2371827951;6650515.867425751;Loxia curvirostra;grankorsnebb;LC;Livskraftig;Fugler;#60beb2;1.5
602689.140644449;6651199.88131528;Turdus philomelos;måltrost;LC;Livskraftig;Fugler;#60beb2;1.5
600235.4985845041;6653105.16450315;Lophophanes cristatus;toppmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599129.8201172816;6652542.798787984;Poecile montanus;granmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599784.0803808126;6653764.911204425;Sitta europaea;spettmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Poecile palustris;løvmeis;LC;Livskraftig;Fugler;#60beb2;1.5
602689.140644449;6651199.88131528;Fringilla coelebs;bokfink;LC;Livskraftig;Fugler;#60beb2;1.5
602417.2371827951;6650515.867425751;Spinus spinus;bokfink;LC;Livskraftig;Fugler;#60beb2;1.5
600236.4985618937;6652442.004624289;Cyanistes caeruleus;blåmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599208.5109609831;6651014.654580258;Dendrocopos major;flaggspett;LC;Livskraftig;Fugler;#60beb2;1.5
599129.8201172816;6652542.798787984;Pandion haliaetus;fiskeørn;NT;Nær truet;Fugler;#ed6c26;2
598897.9856521322;6652682.649330676;Periparus ater;svartmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599208.5109609831;6651014.654580258;Alauda arvensis;sanglerke;VU;Sårbar;Fugler;#e94f33;2.4
602689.140644449;6651199.88131528;Fringilla montifringilla;bjørkefink;LC;Livskraftig;Fugler;#60beb2;1.5
600236.4985618937;6652442.004624289;Lophophanes cristatus;toppmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Dendrocopos major;flaggspett;LC;Livskraftig;Fugler;#60beb2;1.5
598897.9856521322;6652682.649330676;Corvus cornix;kråke;LC;Livskraftig;Fugler;#60beb2;1.5
603000.230766995;6651500.038562356;Lyrurus tetrix;kråke;LC;Livskraftig;Fugler;#60beb2;1.5
599208.5109609831;6651014.654580258;Sitta europaea;spettmeis;LC;Livskraftig;Fugler;#60beb2;1.5
602689.140644449;6651199.88131528;Turdus merula;svarttrost;LC;Livskraftig;Fugler;#60beb2;1.5
599784.0803808126;6653764.911204425;Pyrrhula pyrrhula;dompap;LC;Livskraftig;Fugler;#60beb2;1.5
602689.140644449;6651199.88131528;Aegithalos caudatus;stjertmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Erithacus rubecula;rødstrupe;LC;Livskraftig;Fugler;#60beb2;1.5
600235.4985845041;6653105.16450315;Pyrrhula pyrrhula;dompap;LC;Livskraftig;Fugler;#60beb2;1.5
600235.4985845041;6653105.16450315;Sitta europaea;spettmeis;LC;Livskraftig;Fugler;#60beb2;1.5
602689.140644449;6651199.88131528;Regulus regulus;fuglekonge;LC;Livskraftig;Fugler;#60beb2;1.5
599784.0803808126;6653764.911204425;Dendrocopos major;flaggspett;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Periparus ater;svartmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Parus major;kjøttmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Periparus ater;svartmeis;LC;Livskraftig;Fugler;#60beb2;1.5
600236.4985618937;6652442.004624289;Acanthis flammea;svartmeis;LC;Livskraftig;Fugler;#60beb2;1.5
600289.4384028151;6653095.5999689195;Sitta europaea;spettmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599129.8201172816;6652542.798787984;Sitta europaea;spettmeis;LC;Livskraftig;Fugler;#60beb2;1.5
602689.140644449;6651199.88131528;Lophophanes cristatus;toppmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599844.9655446626;6654829.083400125;Pica pica;skjære;LC;Livskraftig;Fugler;#60beb2;1.5
600235.4985845041;6653105.16450315;Lophophanes cristatus;toppmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Periparus ater;svartmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Erithacus rubecula;rødstrupe;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Poecile palustris;løvmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Sitta europaea;spettmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599129.8201172816;6652542.798787984;Parus major;kjøttmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Pica pica;skjære;LC;Livskraftig;Fugler;#60beb2;1.5
600235.4985845041;6653105.16450315;Poecile montanus;granmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599208.5109609831;6651014.654580258;Dendrocopos minor;dvergspett;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Periparus ater;svartmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599777.1097754401;6652021.635582003;Dryocopus martius;svartspett;LC;Livskraftig;Fugler;#60beb2;1.5
598897.9856521322;6652682.649330676;Corvus cornix;kråke;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Dendrocopos major;flaggspett;LC;Livskraftig;Fugler;#60beb2;1.5
599614.5864704195;6654714.770546407;Acrocephalus palustris;myrsanger;LC;Livskraftig;Fugler;#60beb2;1.5
598897.9856521322;6652682.649330676;Picus viridis;grønnspett;LC;Livskraftig;Fugler;#60beb2;1.5
599208.5109609831;6651014.654580258;Parus major;kjøttmeis;LC;Livskraftig;Fugler;#60beb2;1.5
600235.4985845041;6653105.16450315;Periparus ater;svartmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599777.1097754401;6652021.635582003;Dendrocopos major;flaggspett;LC;Livskraftig;Fugler;#60beb2;1.5
600236.4985618937;6652442.004624289;Chloris chloris;flaggspett;LC;Livskraftig;Fugler;#60beb2;1.5
602689.140644449;6651199.88131528;Periparus ater;svartmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Erithacus rubecula;rødstrupe;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Garrulus glandarius;nøtteskrike;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Garrulus glandarius;nøtteskrike;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Acanthis flammea;nøtteskrike;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Dendrocopos major;flaggspett;LC;Livskraftig;Fugler;#60beb2;1.5
599208.5109609831;6651014.654580258;Glaucidium passerinum;spurveugle;LC;Livskraftig;Fugler;#60beb2;1.5
599129.8201172816;6652542.798787984;Pyrrhula pyrrhula;dompap;LC;Livskraftig;Fugler;#60beb2;1.5
600235.4985845041;6653105.16450315;Garrulus glandarius;nøtteskrike;LC;Livskraftig;Fugler;#60beb2;1.5
602417.2371827951;6650515.867425751;Turdus philomelos;måltrost;LC;Livskraftig;Fugler;#60beb2;1.5
600235.4985845041;6653105.16450315;Sitta europaea;spettmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Parus major;kjøttmeis;LC;Livskraftig;Fugler;#60beb2;1.5
600235.4985845041;6653105.16450315;Poecile montanus;granmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599844.9655446626;6654829.083400125;Acanthis hornemanni;granmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599208.5109609831;6651014.654580258;Gavia arctica;storlom;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Poecile montanus;granmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599784.0803808126;6653764.911204425;Cyanistes caeruleus;blåmeis;LC;Livskraftig;Fugler;#60beb2;1.5
600235.4985845041;6653105.16450315;Periparus ater;svartmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Parus major;kjøttmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599129.8201172816;6652542.798787984;Pyrrhula pyrrhula;dompap;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Periparus ater;svartmeis;LC;Livskraftig;Fugler;#60beb2;1.5
598897.9856521322;6652682.649330676;Garrulus glandarius;nøtteskrike;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Dryocopus martius;svartspett;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Pica pica;skjære;LC;Livskraftig;Fugler;#60beb2;1.5
599129.8201172816;6652542.798787984;Larus argentatus;gråmåke;LC;Livskraftig;Fugler;#60beb2;1.5
599129.8201172816;6652542.798787984;Poecile montanus;granmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Poecile palustris;løvmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Garrulus glandarius;nøtteskrike;LC;Livskraftig;Fugler;#60beb2;1.5
600236.4985618937;6652442.004624289;Pyrrhula pyrrhula;dompap;LC;Livskraftig;Fugler;#60beb2;1.5
599208.5109609831;6651014.654580258;Gavia stellata;smålom;LC;Livskraftig;Fugler;#60beb2;1.5
